box_count,box_mask_accuracy,box_mask_f1,box_mask_iou,dataset,latency_ms,model,normalized1000_box_count,params_M,perturbation,pixel_box_count,round_index,sample,strength
1,0.5627861022949219,0.6209323477369317,0.4502551754571094,zijinshan,600.607878000119,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,63,2024_omap_2024_000052,0.70
1,0.8913955688476562,0.942459274829217,0.8911801242236025,zijinshan,601.2266480001927,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,64,2024_omap_2024_000027,0.70
1,0.280914306640625,0.4187966725659351,0.26485946829213125,zijinshan,601.471997999397,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,65,2024_omap_2024_000049,0.70
1,0.9009971618652344,0.9478615668650845,0.9008905454017765,zijinshan,602.5105479993726,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,66,2024_omap_2024_000039,0.70
1,0.9460792541503906,0.9722792587667948,0.9460539422412707,zijinshan,600.2855079996152,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,67,2024_omap_2024_000019,0.70
1,0.13859176635742188,0.20774873959309118,0.11591496358938219,zijinshan,602.7079670002422,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,1,2024_omap_2024_000005,0.85
1,0.8882522583007812,0.9405079589441148,0.8876970496227689,zijinshan,600.1391780000631,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,2,2024_omap_2024_000021,0.85
3,0.8196296691894531,0.07709874494954425,0.040095009947622724,zijinshan,1073.338043000149,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,3,3,2024_omap_2024_000059,0.85
1,0.2608795166015625,0.3905510820332159,0.24266137164924678,zijinshan,601.1170579995451,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,4,2024_omap_2024_000066,0.85
1,0.9068107604980469,0.9506192554380674,0.9058859335511311,zijinshan,601.6341179993105,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,5,2024_omap_2024_000017,0.85
